Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossQ	LossPi	Qval	Time	remian_mins
165	-130.80869	1.785598	-128.18999	-134.55943	66.2	165000	0.054069053	58.920036	-59.191566	26878.690499544144	13127.118036898579
166	-130.48004	1.4703346	-128.17944	-132.57161	66.066666	166000	0.05380231	58.870865	-59.140198	26921.739829301834	13066.233969361954
167	-131.0724	2.023617	-128.1481	-134.57355	66.333336	167000	0.051006343	58.833466	-59.09983	26964.9581925869	13006.151990496255
168	-130.5019	1.9853146	-128.14871	-132.57146	66.066666	168000	0.04940735	58.799477	-59.063763	27008.33071422577	12946.850596343145
169	-131.3633	1.8978107	-128.15672	-134.5763	66.46667	169000	0.048716296	58.790596	-59.054382	27052.03976035118	12888.402769453309
170	-130.35315	2.4724357	-128.11743	-134.59514	66.0	170000	0.051089723	58.7399	-59.00169	27095.460794448853	12830.497611489014
171	-131.25073	1.6991122	-128.24081	-134.5856	66.4	171000	0.05235569	58.74269	-59.00095	27138.860338687897	12773.251128218699
172	-130.61444	1.6764503	-128.13545	-132.5839	66.125	172000	0.054149713	58.737892	-58.99536	27182.83557701111	12716.931217617212
173	-130.49603	1.8454336	-128.16803	-132.5942	66.066666	173000	0.056332853	58.71718	-58.975254	27226.690311908722	12661.197893601484
174	-130.35927	1.9530426	-128.13005	-132.59468	66.0	174000	0.054465506	58.64451	-58.9	27269.828756570816	12605.765668506776
175	-130.82877	1.8020294	-128.22945	-132.60048	66.2	175000	0.055260934	58.625664	-58.878414	27314.138028621674	12551.496760771388
176	-131.67783	1.7074615	-128.18774	-134.59567	66.6	176000	0.05548364	58.574707	-58.823025	27357.944833278656	12497.606617020476
177	-130.07715	1.5709523	-128.1195	-132.58911	65.86667	177000	0.058618423	58.60669	-58.85648	27401.43602371216	12444.173817548375
178	-130.50737	1.8557744	-128.12524	-132.58913	66.066666	178000	0.060113583	58.58001	-58.830513	27444.257970571518	12391.031079971523
179	-130.64961	1.8975242	-128.17928	-134.64203	66.13333	179000	0.060428634	58.53895	-58.787495	27487.26002907753	12338.55499070603
180	-131.02567	2.1270955	-128.13892	-134.59749	66.3125	180000	0.05925084	58.501614	-58.747658	27531.458517074585	12287.18796780551
181	-130.51329	1.825785	-128.11855	-134.59798	66.066666	181000	0.0548204	58.483067	-58.729023	27574.866226434708	12236.029497715364
182	-130.62547	2.5817342	-128.11058	-134.61102	66.13333	182000	0.057051245	58.472633	-58.71532	27618.60165333748	12185.569850346152
183	-131.64339	1.5394131	-128.27844	-134.62134	66.6	183000	0.053390272	58.46058	-58.70225	27661.7712290287	12135.405465412683
184	-131.49768	1.5488037	-128.21227	-134.59041	66.53333	184000	0.054965958	58.411396	-58.650238	27705.377977371216	12085.969233606864
185	-131.3546	1.7297256	-128.18275	-134.63824	66.46667	185000	0.0542952	58.441017	-58.679474	27747.940265655518	12036.606520642461
186	-130.51207	1.8437698	-128.18054	-132.57889	66.066666	186000	0.052565254	58.405533	-58.64449	27791.42476129532	11988.164767103555
187	-131.21567	2.0439804	-128.15996	-134.58322	66.4	187000	0.051456124	58.334156	-58.572994	27834.50999546051	11940.062086288006
188	-129.92926	1.6247257	-128.1205	-132.58113	65.8	188000	0.05383538	58.38245	-58.61794	27877.47342133522	11892.411533995131
189	-130.48637	1.8461359	-128.12067	-134.62386	66.066666	189000	0.052238885	58.29269	-58.526016	27920.689802885056	11845.364959583774
190	-130.35307	1.2921822	-128.15213	-132.477	66.0	190000	0.05181505	58.33429	-58.565186	27965.345933437347	11799.41350349418
191	-129.20209	1.7350346	-128.12051	-132.53288	65.46667	191000	0.052319597	58.306667	-58.53685	28008.122418165207	11753.146658722206
192	-130.79108	1.4013362	-128.17226	-132.58954	66.2	192000	0.05203166	58.319603	-58.547802	28051.267815113068	11707.50830339094
193	-130.50027	1.6532704	-128.17265	-132.549	66.066666	193000	0.056501437	58.273445	-58.501484	28095.188391685486	11662.657219242845
194	-130.52525	1.8041645	-128.25085	-134.52966	66.066666	194000	0.055400386	58.24926	-58.47746	28138.414928674698	11617.974411272387
195	-130.66843	1.3104264	-128.21123	-132.54207	66.13333	195000	0.05460855	58.175247	-58.400646	28181.65901350975	11573.749705975586
196	-130.35788	2.0502412	-128.15768	-134.54173	66.0	196000	0.05627321	58.14721	-58.37038	28224.45307612419	11529.785083137807
197	-130.3449	1.6777203	-128.17432	-132.48251	66.0	197000	0.06224037	58.1996	-58.421143	28267.854244709015	11486.506255273891
198	-129.81294	1.6625702	-128.16519	-132.54948	65.73333	198000	0.060245875	58.13444	-58.356876	28311.080500602722	11443.58657945238
199	-130.77878	1.9388515	-128.16905	-134.52742	66.2	199000	0.060020737	58.13927	-58.36109	28353.70920419693	11400.85074450163
200	-130.35555	2.0470045	-128.17488	-132.51953	66.0	200000	0.06035001	58.088985	-58.310303	28397.01180911064	11358.804723644256
201	-130.51907	1.6535264	-128.16747	-132.53482	66.066666	201000	0.058694504	58.10324	-58.323963	28441.465722084045	11317.628026557326
202	-130.36974	1.5520363	-128.20412	-132.53732	66.0	202000	0.06138185	58.080936	-58.30082	28485.25340437889	11276.58794011633
203	-131.0823	1.8274717	-128.24187	-134.52242	66.333336	203000	0.056623105	58.079334	-58.298996	28529.208602905273	11236.01097439545
204	-129.45209	1.497697	-128.20836	-132.54895	65.5625	204000	0.058541726	58.018234	-58.23623	28572.715976953506	11195.64916874747
205	-131.19661	2.150774	-128.20816	-134.52843	66.4	205000	0.057277016	58.00323	-58.22267	28615.619953393936	11155.43883548975
